Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearExperience,IncomePerHour,RoleToCompanyRatio,PromotionFrequency,Attrition
48,Travel_Rarely,1221,Sales,7,3,Marketing,1466,3,Male,96,3,2,Sales Executive,1,Divorced,5486,24795,4,No,11,3,1,3,15,3,3,2,2,2,2,342.875,15.837182448036952,0.6666666666666666,0.6666666666666666,0
57,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1483,2,Male,93,4,2,Research Scientist,3,Married,4900,2721,0,No,24,4,1,1,13,2,2,12,9,2,8,350.0,14.145496535796768,0.6923076923076923,0.15384615384615385,0
34,Non-Travel,697,Research & Development,3,4,Life Sciences,1115,3,Male,40,2,1,Research Scientist,4,Married,2979,22478,3,No,17,3,4,3,6,2,3,0,0,0,0,425.57142857142856,8.599884526558892,0.0,0.0,0
37,Non-Travel,1063,Research & Development,25,5,Medical,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7,278.0625,12.843533487297922,0.7857142857142857,0.7142857142857143,0
37,Non-Travel,1252,Sales,19,2,Medical,904,1,Male,32,3,3,Sales Executive,2,Single,7642,4814,1,Yes,13,3,4,0,10,2,3,10,0,0,9,694.7272727272727,22.06120092378753,0.0,0.0,0
52,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,316,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3300,7,No,15,3,2,0,6,3,2,2,2,2,2,458.85714285714283,9.272517321016167,0.6666666666666666,0.6666666666666666,0
32,Travel_Frequently,238,Research & Development,5,2,Life Sciences,1939,1,Female,47,4,1,Research Scientist,3,Single,2432,15318,3,Yes,14,3,1,0,8,2,3,4,1,0,3,270.22222222222223,7.020785219399539,0.2,0.0,1
35,Travel_Rarely,619,Sales,1,3,Marketing,600,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9,294.8125,13.617205542725173,0.75,0.5,0
52,Travel_Rarely,994,Research & Development,7,4,Life Sciences,1118,2,Male,87,3,3,Healthcare Representative,2,Single,10445,15322,7,No,19,3,4,0,18,4,3,8,6,4,0,549.7368421052631,30.153002309468825,0.6666666666666666,0.4444444444444444,0
28,Travel_Rarely,1179,Research & Development,19,4,Medical,1216,4,Male,78,2,1,Laboratory Technician,1,Married,3196,12449,1,No,12,3,3,3,6,2,3,6,5,3,3,456.57142857142856,9.226327944572748,0.7142857142857143,0.42857142857142855,0
31,Travel_Rarely,326,Sales,8,2,Life Sciences,1453,1,Male,31,3,3,Sales Executive,4,Divorced,10793,8386,1,No,18,3,1,1,13,5,3,13,7,9,9,770.9285714285714,31.157621247113166,0.5,0.6428571428571429,0
32,Travel_Rarely,1018,Research & Development,2,4,Medical,439,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7,459.54545454545456,14.59295612009238,0.875,0.0,0
32,Travel_Rarely,128,Research & Development,2,1,Technical Degree,362,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,0,9,5,3,6,2,0,4,217.6,6.28175519630485,0.2857142857142857,0.0,0
43,Travel_Rarely,531,Sales,4,4,Marketing,1293,4,Female,56,2,3,Sales Executive,4,Single,10231,20364,3,No,14,3,4,0,23,3,4,21,7,15,17,426.2916666666667,29.535219399538107,0.3181818181818182,0.6818181818181818,0
28,Travel_Frequently,783,Sales,1,2,Life Sciences,1927,3,Male,42,2,2,Sales Executive,4,Married,6834,19255,1,Yes,12,3,3,1,7,2,3,7,7,0,7,854.25,19.72863741339492,0.875,0.0,0
38,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,296.05555555555554,15.383949191685913,0.7857142857142857,0.07142857142857142,0
31,Travel_Rarely,218,Sales,7,3,Technical Degree,416,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,629.9090909090909,20.002886836027717,0.7777777777777778,0.7777777777777778,0
25,Travel_Rarely,810,Sales,8,3,Life Sciences,707,4,Male,57,4,2,Sales Executive,2,Married,4851,15678,0,No,22,4,3,1,4,4,3,3,2,1,2,970.2,14.0040415704388,0.5,0.25,0
29,Travel_Rarely,1247,Sales,20,2,Marketing,349,4,Male,45,3,2,Sales Executive,4,Divorced,6931,10732,2,No,14,3,4,1,10,2,3,3,2,0,2,630.0909090909091,20.008660508083143,0.5,0.0,0
36,Non-Travel,1105,Research & Development,24,4,Life Sciences,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8,472.8333333333333,16.379907621247114,0.8,0.0,0
41,Travel_Frequently,840,Research & Development,9,3,Medical,999,1,Male,64,3,5,Research Director,3,Divorced,19419,3735,2,No,17,3,2,1,21,2,4,18,16,0,11,882.6818181818181,56.059468822170906,0.8421052631578947,0.0,0
33,Travel_Frequently,553,Research & Development,5,4,Life Sciences,428,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,913.6923076923077,34.28983833718245,0.5454545454545454,0.7272727272727273,0
36,Travel_Rarely,1351,Research & Development,26,4,Life Sciences,1682,1,Male,80,3,2,Healthcare Representative,3,Married,5347,7419,6,No,14,3,2,2,10,2,2,3,2,0,2,486.09090909090907,15.43591224018476,0.5,0.0,0
27,Travel_Rarely,511,Sales,2,2,Medical,1898,1,Female,89,4,2,Sales Executive,3,Single,6500,26997,0,No,14,3,2,0,9,5,2,8,7,0,7,650.0,18.76443418013857,0.7777777777777778,0.0,0
30,Travel_Frequently,1012,Research & Development,5,4,Life Sciences,861,2,Male,75,2,1,Research Scientist,4,Divorced,3761,2373,9,No,12,3,2,1,10,3,2,5,4,0,3,341.90909090909093,10.857390300230948,0.6666666666666666,0.0,0
39,Travel_Rarely,1498,Sales,21,4,Life Sciences,1390,1,Male,44,2,2,Sales Executive,4,Married,6120,3567,3,Yes,12,3,4,2,8,2,4,5,4,1,4,680.0,17.667436489607393,0.6666666666666666,0.16666666666666666,0
33,Travel_Frequently,1303,Research & Development,7,2,Life Sciences,1970,4,Male,36,3,2,Healthcare Representative,3,Divorced,5968,18079,1,No,20,4,3,3,9,2,3,9,7,2,8,596.8,17.22863741339492,0.7,0.2,0
37,Travel_Rarely,370,Research & Development,10,4,Medical,1809,4,Male,58,3,2,Manufacturing Director,1,Single,4213,4992,1,No,15,3,2,0,10,4,1,10,3,0,8,383.0,12.162240184757506,0.2727272727272727,0.0,1
45,Travel_Rarely,930,Sales,9,3,Marketing,864,4,Male,74,3,3,Sales Executive,1,Divorced,10761,19239,4,Yes,12,3,3,1,18,2,3,5,4,0,2,566.3684210526316,31.06524249422633,0.6666666666666666,0.0,0
34,Travel_Rarely,285,Research & Development,29,3,Medical,1377,2,Male,86,3,2,Laboratory Technician,3,Married,5429,17491,4,No,13,3,1,2,10,1,3,8,7,7,7,493.54545454545456,15.672632794457275,0.7777777777777778,0.7777777777777778,0
38,Travel_Frequently,1391,Research & Development,10,1,Medical,1006,3,Male,66,3,1,Research Scientist,3,Married,2684,12127,0,No,17,3,2,1,3,0,2,2,1,0,2,671.0,7.748267898383372,0.3333333333333333,0.0,0
50,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3,499.8095238095238,30.30023094688222,0.6,0.2,0
42,Travel_Rarely,635,Sales,1,1,Life Sciences,387,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,0,20,3,3,20,16,11,6,233.66666666666666,14.165704387990763,0.7619047619047619,0.5238095238095238,0
34,Travel_Frequently,296,Sales,6,2,Marketing,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,587.75,6.786951501154735,0.6666666666666666,0.3333333333333333,1
34,Travel_Rarely,678,Research & Development,19,3,Life Sciences,1701,2,Female,35,2,1,Research Scientist,4,Married,2929,20338,1,No,12,3,2,0,10,3,3,10,9,8,7,266.27272727272725,8.455542725173212,0.8181818181818182,0.7272727272727273,0
34,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1344,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,No,11,3,4,1,10,0,2,9,7,1,6,772.7272727272727,24.53810623556582,0.7,0.1,0
32,Travel_Rarely,499,Sales,2,1,Marketing,1396,3,Male,36,3,2,Sales Executive,2,Married,4078,20497,0,Yes,13,3,1,3,4,3,2,3,2,1,2,815.6,11.772517321016167,0.5,0.25,0
40,Travel_Rarely,555,Research & Development,2,3,Medical,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0,164.1904761904762,9.953810623556583,0.0,0.0,0
37,Travel_Rarely,1470,Research & Development,10,3,Medical,1640,2,Female,71,3,1,Research Scientist,2,Married,3936,9953,1,No,11,3,1,1,8,2,1,8,4,7,7,437.3333333333333,11.362586605080832,0.4444444444444444,0.7777777777777778,0
32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,1478.0,8.533487297921479,0.0,0.0,0
44,Travel_Rarely,1099,Sales,5,3,Marketing,1267,2,Male,88,3,5,Manager,2,Married,18213,8751,7,No,11,3,3,1,26,5,3,22,9,3,10,674.5555555555555,52.57794457274827,0.391304347826087,0.13043478260869565,0
26,Non-Travel,786,Research & Development,7,3,Medical,1693,4,Male,76,3,1,Laboratory Technician,4,Single,2570,11925,1,No,20,4,3,0,7,5,3,7,7,5,7,321.25,7.419168591224019,0.875,0.625,0
44,Travel_Rarely,1315,Research & Development,3,4,Other,671,4,Male,35,3,5,Manager,4,Married,19513,9358,4,Yes,12,3,1,1,26,2,4,2,2,0,1,722.7037037037037,56.330831408775985,0.6666666666666666,0.0,0
36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,488.42857142857144,9.870092378752888,0.5,0.0,0
36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,506.3333333333333,8.770207852193996,0.0,0.0,0
36,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,309.72727272727275,9.835450346420323,0.5,0.0,1
31,Travel_Frequently,1060,Sales,1,3,Life Sciences,1331,4,Female,54,3,1,Sales Representative,2,Single,2302,8319,1,Yes,11,3,1,0,3,2,4,3,2,2,2,575.5,6.6454965357967675,0.5,0.5,1
35,Travel_Rarely,735,Research & Development,6,1,Life Sciences,1291,3,Male,66,3,1,Research Scientist,3,Married,3506,6020,0,Yes,14,3,4,0,4,3,3,3,2,2,2,701.2,10.121247113163973,0.5,0.5,0
37,Travel_Rarely,977,Research & Development,1,3,Life Sciences,1196,4,Female,56,2,2,Manufacturing Director,4,Married,6474,9961,1,No,13,3,2,1,14,2,2,14,8,3,11,431.6,18.689376443418016,0.5333333333333333,0.2,0
46,Travel_Rarely,1485,Research & Development,18,3,Medical,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8,240.5,13.885681293302541,0.6363636363636364,0.0,0
36,Travel_Rarely,711,Research & Development,5,4,Life Sciences,1651,2,Female,42,3,3,Healthcare Representative,1,Married,8008,22792,4,No,12,3,3,2,9,6,3,3,2,0,2,800.8,23.117782909930717,0.5,0.0,0
35,Non-Travel,208,Research & Development,8,4,Life Sciences,1630,3,Female,52,3,2,Healthcare Representative,3,Married,4148,12250,1,No,12,3,4,1,15,5,3,14,11,2,9,259.25,11.974595842956122,0.7333333333333333,0.13333333333333333,0
42,Travel_Rarely,810,Research & Development,23,5,Life Sciences,468,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,940.7058823529412,46.16628175519631,0.0,0.0,0
40,Travel_Rarely,804,Research & Development,2,1,Medical,763,4,Female,86,2,1,Research Scientist,4,Single,2342,22929,0,Yes,20,4,4,0,5,2,2,4,2,2,3,390.3333333333333,6.760969976905312,0.4,0.4,0
39,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,531,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6,872.5909090909091,55.41859122401848,0.36363636363636365,0.045454545454545456,0
29,Travel_Rarely,332,Human Resources,17,3,Other,1419,2,Male,51,2,3,Human Resources,1,Single,7988,9769,1,No,13,3,1,0,10,3,2,10,9,0,9,726.1818181818181,23.060046189376443,0.8181818181818182,0.0,0
40,Travel_Frequently,1469,Research & Development,9,4,Medical,964,4,Male,35,3,1,Research Scientist,2,Divorced,3617,25063,8,Yes,14,3,4,1,3,2,3,1,1,0,0,904.25,10.441685912240185,0.5,0.0,0
37,Travel_Rarely,342,Sales,16,4,Marketing,868,4,Male,66,2,2,Sales Executive,3,Divorced,6334,24558,4,No,19,3,4,2,9,2,3,1,0,0,0,633.4,18.285219399538107,0.0,0.0,0
23,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1533,1,Male,97,3,2,Laboratory Technician,3,Single,2272,24812,0,No,14,3,2,0,5,2,3,4,3,1,2,378.6666666666667,6.558891454965359,0.6,0.2,0
28,Travel_Rarely,1404,Research & Development,17,3,Technical Degree,1960,3,Male,32,2,1,Laboratory Technician,4,Divorced,2367,18779,5,No,12,3,1,1,6,2,2,4,1,0,3,338.14285714285717,6.833140877598153,0.2,0.0,1
36,Travel_Frequently,884,Research & Development,23,2,Medical,2061,3,Male,41,4,2,Laboratory Technician,4,Married,2571,12290,4,No,17,3,3,1,17,3,3,5,2,0,3,142.83333333333334,7.422055427251733,0.3333333333333333,0.0,0
36,Travel_Rarely,311,Research & Development,7,3,Life Sciences,1659,1,Male,77,3,1,Laboratory Technician,2,Single,2013,10950,2,No,11,3,3,0,15,4,3,4,3,1,3,125.8125,5.8112009237875295,0.6,0.2,0
51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,No,13,3,3,0,23,5,3,20,18,15,15,814.0416666666666,56.40011547344111,0.8571428571428571,0.7142857142857143,0
40,Travel_Rarely,676,Research & Development,9,4,Life Sciences,1534,4,Male,86,3,1,Laboratory Technician,1,Single,2018,21831,3,No,14,3,2,0,15,3,1,5,4,1,0,126.125,5.825635103926097,0.6666666666666666,0.16666666666666666,1
23,Travel_Rarely,885,Research & Development,4,3,Medical,705,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,No,16,3,1,1,5,3,4,3,2,0,2,469.8333333333333,8.137990762124712,0.5,0.0,0
26,Travel_Rarely,583,Research & Development,4,2,Life Sciences,1275,3,Male,53,3,1,Research Scientist,4,Single,2875,9973,1,Yes,20,4,2,0,8,2,2,8,5,2,2,319.44444444444446,8.299653579676676,0.5555555555555556,0.2222222222222222,0
55,Travel_Rarely,189,Human Resources,26,4,Human Resources,1973,3,Male,71,4,5,Manager,2,Married,19636,25811,4,Yes,18,3,1,1,35,0,3,10,9,1,4,545.4444444444445,56.68591224018476,0.8181818181818182,0.09090909090909091,0
41,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1085,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,No,13,3,3,0,10,3,3,10,6,0,8,306.90909090909093,9.7459584295612,0.5454545454545454,0.0,0
32,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,385.38461538461536,14.463048498845266,0.6666666666666666,0.4166666666666667,0
33,Travel_Rarely,931,Research & Development,14,3,Medical,252,4,Female,72,3,1,Research Scientist,2,Married,2756,4673,1,No,13,3,4,1,8,5,3,8,7,1,6,306.22222222222223,7.956120092378754,0.7777777777777778,0.1111111111111111,0
30,Travel_Rarely,1358,Sales,16,1,Life Sciences,1479,4,Male,96,3,2,Sales Executive,3,Married,5301,2939,8,No,15,3,3,2,4,2,2,2,1,2,2,1060.2,15.303117782909931,0.3333333333333333,0.6666666666666666,0
41,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,665.8888888888889,17.30080831408776,0.5714285714285714,0.0,1
40,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1892,1,Male,98,3,4,Manager,1,Divorced,16823,18991,2,No,11,3,1,1,22,3,3,19,7,11,16,731.4347826086956,48.56524249422633,0.35,0.55,0
41,Travel_Rarely,549,Research & Development,7,2,Medical,1025,4,Female,42,3,2,Manufacturing Director,3,Single,5003,23371,6,No,14,3,2,0,8,6,3,2,2,2,1,555.8888888888889,14.442840646651272,0.6666666666666666,0.6666666666666666,0
45,Travel_Rarely,561,Sales,2,3,Other,606,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7,480.5,13.871247113163973,0.7777777777777778,0.3333333333333333,0
27,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,495.42857142857144,10.011547344110856,0.6666666666666666,0.6666666666666666,0
40,Non-Travel,1151,Research & Development,9,5,Life Sciences,287,4,Male,63,2,2,Healthcare Representative,4,Married,4876,14242,9,No,14,3,4,1,5,5,1,3,2,0,2,812.6666666666666,14.07621247113164,0.5,0.0,0
29,Travel_Rarely,350,Human Resources,13,3,Human Resources,1844,1,Male,56,2,1,Human Resources,1,Divorced,2335,3157,4,Yes,15,3,4,3,4,3,3,2,2,2,0,467.0,6.740762124711317,0.6666666666666666,0.6666666666666666,1
31,Travel_Frequently,798,Research & Development,7,2,Life Sciences,442,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9,813.0,25.816974595842957,0.8181818181818182,0.7272727272727273,0
48,Travel_Rarely,817,Sales,2,1,Marketing,712,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,No,12,3,4,0,12,3,3,2,2,2,2,624.6153846153846,23.441108545034645,0.6666666666666666,0.6666666666666666,0
33,Travel_Rarely,134,Research & Development,2,3,Life Sciences,242,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,No,14,3,1,0,4,2,4,3,1,0,2,500.0,7.217090069284065,0.25,0.0,0
39,Travel_Rarely,408,Research & Development,2,4,Technical Degree,721,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,No,11,3,1,0,20,4,3,20,7,11,10,216.8095238095238,13.14376443418014,0.3333333333333333,0.5238095238095238,0
29,Travel_Frequently,337,Research & Development,14,1,Other,1421,3,Female,84,3,3,Healthcare Representative,4,Single,7553,22930,0,Yes,12,3,1,0,9,1,3,8,7,7,7,755.3,21.804272517321017,0.7777777777777778,0.7777777777777778,1
35,Travel_Frequently,636,Research & Development,4,4,Other,1185,4,Male,47,2,1,Laboratory Technician,4,Married,2376,26537,1,No,13,3,2,1,2,2,4,2,2,2,2,792.0,6.859122401847576,0.6666666666666666,0.6666666666666666,0
46,Travel_Rarely,1277,Sales,2,3,Life Sciences,1732,3,Male,74,3,3,Sales Executive,4,Divorced,10368,5596,4,Yes,12,3,2,1,13,5,2,10,6,0,3,740.5714285714286,29.930715935334874,0.5454545454545454,0.0,0
33,Travel_Rarely,589,Research & Development,28,4,Life Sciences,1549,2,Male,79,3,2,Laboratory Technician,3,Married,5207,22949,1,Yes,12,3,2,1,15,3,3,15,14,5,7,325.4375,15.03175519630485,0.875,0.3125,0
30,Travel_Frequently,1312,Research & Development,2,4,Technical Degree,1745,4,Female,78,2,1,Research Scientist,1,Single,4968,26427,0,No,16,3,4,0,10,2,3,9,7,0,7,451.6363636363636,14.341801385681293,0.7,0.0,0
40,Travel_Rarely,989,Research & Development,4,1,Medical,253,4,Female,46,3,5,Manager,3,Married,19033,6499,1,No,14,3,2,1,21,2,3,20,8,9,9,865.1363636363636,54.945150115473446,0.38095238095238093,0.42857142857142855,0
35,Travel_Rarely,1370,Research & Development,27,4,Life Sciences,1728,4,Male,49,3,2,Manufacturing Director,3,Married,6883,5151,2,No,16,3,2,1,17,3,3,7,7,0,7,382.3888888888889,19.870092378752886,0.875,0.0,0
19,Travel_Rarely,489,Human Resources,2,2,Technical Degree,566,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0,1282.0,7.4018475750577375,0.0,0.0,1
44,Travel_Rarely,200,Research & Development,29,4,Other,1225,4,Male,32,3,2,Research Scientist,4,Single,4541,7744,1,No,25,4,2,0,20,3,3,20,11,13,17,216.23809523809524,13.109122401847577,0.5238095238095238,0.6190476190476191,0
33,Travel_Rarely,147,Research & Development,4,4,Medical,305,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,No,21,4,4,0,7,3,3,3,2,1,1,327.75,7.569284064665127,0.5,0.25,0
29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,907.2727272727273,28.810623556581987,0.8181818181818182,0.7272727272727273,0
56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,191.05263157894737,20.958429561200926,0.5714285714285714,0.0,0
41,Travel_Rarely,548,Research & Development,9,4,Life Sciences,1772,3,Male,94,3,1,Laboratory Technician,1,Divorced,2289,20520,1,No,20,4,2,2,5,2,3,5,3,0,4,381.5,6.6079676674364904,0.5,0.0,0
42,Travel_Rarely,469,Research & Development,2,2,Medical,1109,4,Male,35,3,4,Manager,1,Married,17665,14399,0,No,17,3,4,1,23,3,3,22,6,13,7,736.0416666666666,50.995958429561206,0.2608695652173913,0.5652173913043478,0
32,Travel_Rarely,906,Sales,7,3,Life Sciences,420,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,1,13,3,2,13,8,4,8,391.7142857142857,15.831408775981526,0.5714285714285714,0.2857142857142857,0
30,Travel_Rarely,945,Sales,9,3,Medical,1876,2,Male,89,3,1,Sales Representative,4,Single,1081,16019,1,No,13,3,3,0,1,3,2,1,0,0,0,540.5,3.1206697459584296,0.0,0.0,1
35,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,586,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0,693.8181818181819,22.032332563510394,0.7777777777777778,0.0,0
51,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,296,2,Male,81,2,3,Research Director,2,Married,12490,15736,5,No,16,3,4,2,16,5,1,10,9,4,7,734.7058823529412,36.056581986143186,0.8181818181818182,0.36363636363636365,0
33,Non-Travel,722,Sales,17,3,Life Sciences,992,4,Male,38,3,4,Manager,3,Single,17444,20489,1,No,11,3,4,0,10,2,3,10,8,6,0,1585.8181818181818,50.35796766743649,0.7272727272727273,0.5454545454545454,0
29,Travel_Rarely,738,Research & Development,9,5,Other,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2,796.6,11.498267898383373,0.5,0.5,0
46,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,1217,4,Male,52,3,5,Research Director,2,Married,19081,10849,5,No,11,3,1,1,25,2,3,4,2,0,3,733.8846153846154,55.0837182448037,0.4,0.0,0
27,Non-Travel,443,Research & Development,3,3,Medical,850,4,Male,50,3,1,Research Scientist,4,Married,1706,16571,1,No,11,3,3,3,0,6,2,0,0,0,0,1706.0,4.924942263279446,0.0,0.0,0
40,Travel_Rarely,300,Sales,26,3,Marketing,1066,3,Male,74,3,2,Sales Executive,1,Married,8396,22217,1,No,14,3,2,1,8,3,2,7,7,7,5,932.8888888888889,24.237875288683604,0.875,0.875,0
